"day","g","w","lambda"
1,0.173965156441247,0.991342380438482,0.00251261465964273
2,0.171549303871467,0.982804989162293,0.00245123981042223
3,0.169244125648739,0.974382318307608,0.00239340928465815
4,0.167040737621724,0.96606930214283,0.00233880114861162
5,0.164931222398432,0.957861268956461,0.00228713199487695
6,0.162908497835158,0.949753899489797,0.00223815129313371
7,0.160966206780438,0.941743190856679,0.00219163671220274
8,0.159098624125519,0.933825425088999,0.00214739022326605
9,0.157300578036455,0.925997141602206,0.00210523483560761
10,0.15556738287697,0.918255112998997,0.00206501184778835
11,0.153894781823166,0.910596323728873,0.00202657852137032
12,0.152278897555747,0.903017951201554,0.00198980610300573
13,0.150716189718229,0.895517349017561,0.0019545781352706
14,0.14920341806947,0.888092032032549,0.00192078900803661
15,0.147737610450269,0.880739663015836,0.00188834271118611
16,0.146316034837234,0.873458040699713,0.00185715175662783
17,0.144936174880962,0.866245089046117,0.00182713624328721
18,0.143595708426006,0.859098847582305,0.00179822304333439
19,0.142292488592,0.85201746267804,0.00177034509162208
20,0.141024527062334,0.844999179654445,0.00174344076331272
21,0.13978997928202,0.838042335629504,0.00171745332713118
22,0.138587131311974,0.83114535301778,0.00169233046368812
23,0.137414388124822,0.824306733612605,0.00166802383997689
24,0.136270263158902,0.817525053188133,0.00164448873251291
25,0.135153368973537,0.810798956566449,0.00162168369272175
26,0.134062408870812,0.80412715310162,0.00159957024912665
27,0.132996169367826,0.797508412538393,0.00157811264167852
28,0.13195351341911,0.790941561208172,0.00155727758423421
29,0.13093337430238,0.784425478529291,0.00153703405174865
30,0.129934750092184,0.777959093782303,0.00151735308921824
31,0.128956698655694,0.771541383134324,0.00149820763981364
32,0.127998333113314,0.765171366889274,0.00147957238997975
33,0.127058817713853,0.758848106943399,0.00146142362957179
34,0.12613736408302,0.752570704427498,0.00144373912539673
35,0.125233227788988,0.74633829752006,0.00142649800635475
36,0.124345705236768,0.740150059414965,0.00140968065977117
37,0.123474130796994,0.73400519643207,0.0013932686365568
38,0.122617874193202,0.727902946257821,0.00137724456517694
39,0.12177633810252,0.721842576305276,0.00136159207314073
40,0.120948955952536,0.715823382183759,0.00134629571531026
41,0.120135189895654,0.709844686269336,0.0013313409083446
42,0.119334528944274,0.703905836368084,0.00131671387067222
43,0.118546487251902,0.698006204464911,0.0013024015674525
44,0.117770602526871,0.692145185551318,0.00128839166004708
45,0.11700643457403,0.686322196525733,0.00127467245970366
46,0.116253563904964,0.680536675163013,0.00126123288419875
47,0.115511590544915,0.674788079143318,0.00124806241956619
48,0.114780132815895,0.669075885141549,0.00123515108280942
49,0.114058826276323,0.663399587969551,0.00122248938869764
50,0.113347322717197,0.657758699768278,0.00121006831873103
51,0.112645289229218,0.652152749246381,0.00119787929242782
52,0.111952407334798,0.646581280961995,0.00118591414072805
53,0.111268372202248,0.641043854643629,0.00117416508171978
54,0.110592891785878,0.635540044553856,0.00116262469592893
55,0.109925686314846,0.630069438878437,0.001151285908347
56,0.109266487472551,0.624631639156283,0.00114014196584408
57,0.108615037841301,0.619226259737058,0.00112918641976919
58,0.107971090325122,0.613852927267502,0.0011184131087526
59,0.107334407610715,0.608511280204584,0.00110781614269458
60,0.106704761662936,0.603200968353761,0.00109738988783334
61,0.106081933270985,0.597921652429824,0.00108712895311659
62,0.105465711503064,0.592673003644878,0.00107702817550129
63,0.104855893510455,0.587454703306079,0.00106708261138994
64,0.104252283887799,0.582266442445206,0.00105728752114684
65,0.103654694453559,0.577107921459152,0.00104763836084838
66,0.103062943861313,0.571978849769772,0.00103813077156975
67,0.102476857276002,0.566878945499832,0.0010287605700253
68,0.101896266066844,0.561807935164243,0.00101952373974825
69,0.101321007517476,0.556765553375725,0.00101041642279941
70,0.100750924552212,0.55175154256409,0.00100143491196818
71,0.100185865477553,0.546765652708388,0.000992575643435069
72,0.099625683738057,0.541807641081206,0.000983835189865747
73,0.0990702376856902,0.536877272004445,0.00097521025390773
74,0.0985193903617609,0.531974316615946,0.00096669766206224
75,0.0979730092905613,0.527098552646388,0.00095829435890484
76,0.0974309662839416,0.522249764205915,0.00094999740163131
77,0.096893137256121,0.517427741579972,0.000941803954907164
78,0.096359402048121,0.512632281033884,0.000933711286001427
79,0.095829644261264,0.50786318462572,0.000925716760187015
80,0.0953037510992113,0.503120260027016,0.000917817836390913
81,0.0947816132180434,0.498403320350962,0.000910012063078814
82,0.0942631245839034,0.49371218398767,0.000902297074359365
83,0.0937481823377549,0.489046674446176,0.000894670586294578
84,0.093236686666826,0.48440662020284,0.000887130393403373
85,0.0927285406823474,0.479791854555826,0.000879674365346542
86,0.0922236503032148,0.475202215485376,0.000872300443782069
87,0.0917219241452488,0.470637545519594,0.000865006639380744
88,0.0912232734157294,0.466097691605478,0.000857791028992525
89,0.09072761181291,0.461582504984952,0.000850651752954756
90,0.0902348554302459,0.457091841075668,0.000843587012534182
91,0.0897449226650854,0.452625559356348,0.00083659506749511
92,0.0892577341315753,0.448183523256462,0.000829674233786489
93,0.0887732125775531,0.443765600050043,0.000822822881341074
94,0.0882912828052151,0.439371660753445,0.000816039431980475
95,0.0878118715953517,0.435001580026883,0.000809322357420061
96,0.0873349076349718,0.430655236079557,0.000802670177368305
97,0.0868603214327651,0.426332510579006,0.000796081457502453
98,0.0863880453272255,0.422033288560033,0.000789554808770089
99,0.0859180132900457,0.417757458343435,0.000783088883892848
100,0.0854501609566777,0.413504911453201,0.000776682377062304
101,0.0849844255907827,0.40927554253548,0.000770334022738497
102,0.0845207459580727,0.405069249283832,0.0007640425932479
103,0.0840590623123303,0.400885932365172,0.000757806897952085
104,0.0835993163372728,0.396725495348604,0.000751625781840443
105,0.0831414510978287,0.392587844636689,0.000745498124280722
106,0.0826854109934332,0.388472889399026,0.000739422837824348
107,0.0822311417132466,0.384380541508068,0.000733398867063809
108,0.0817785902130811,0.380310715476087,0.000727425187801223
109,0.0813277045621153,0.376263328399767,0.000721500804526799
110,0.0808784341615585,0.372238299893909,0.000715624752814381
111,0.0804307294001857,0.368235552042288,0.000709796094331091
112,0.0799845418082382,0.364255009340843,0.000704013918421751
113,0.079539823971236,0.36029659864516,0.000698277340554812
114,0.079096529503765,0.356360249119264,0.000692585501573901
115,0.0786546129811266,0.3524458921878,0.000686937566427475
116,0.0782140299824556,0.348553461486082,0.000681332724343237
117,0.0777747369889072,0.344682892815197,0.000675770187161809
118,0.0773366913602358,0.340834124098287,0.000670249188697273
119,0.0768998514241231,0.337007095332373,0.000664768985521958
120,0.0764641762261033,0.333201748552634,0.000659328853496431
121,0.0760296257138649,0.329418027787508,0.000653928089777435
122,0.0755961606118503,0.325655879020034,0.000648566010943427
123,0.0751637424170659,0.32191525014941,0.000643241952656693
124,0.074732333376188,0.318196090953677,0.000637955269102006
125,0.0743018964634923,0.314498353053516,0.000632705332446781
126,0.0738723953595628,0.310821989877094,0.000627491532321695
127,0.0734437944307307,0.307166956625937,0.000622313275320658
128,0.0730160587091949,0.303533210241791,0.000617169984519083
129,0.0725891538737613,0.299920709374448,0.000612061099009277
130,0.0721630462245586,0.296329414350818,0.000606986073373604
131,0.0717377027295068,0.292759287141701,0.00060194437801737
132,0.071313090841084,0.289210291337667,0.000596935496785229
133,0.0708891786729372,0.285682392116158,0.000591958928856603
134,0.0704659348770089,0.282175556214695,0.000587014187092832
135,0.0700433286511255,0.278689751903711,0.00058210079794135
136,0.0696213297240839,0.275224948960131,0.000577218301079582
137,0.0691999083412334,0.271781118641658,0.000572366249071502
138,0.0687790352505345,0.268358233661765,0.000567544207036334
139,0.0683586816890723,0.264956268165354,0.000562751752328874
140,0.0679388193700081,0.261575197705059,0.000557988474230947
141,0.0675194204699477,0.258214999218183,0.00055325397365353
142,0.0671004576167108,0.254875651004247,0.000548547862849086
143,0.0666819038774836,0.251557132703118,0.000543869765133704
144,0.0662637327473382,0.248259425273721,0.000539219314618609
145,0.0658459181381025,0.244982510973293,0.00053459615595066
146,0.0654284343675665,0.241726373337183,0.000529999944061482
147,0.0650112561490082,0.238490997159169,0.000525430343924837
148,0.0645943585810272,0.235276368472282,0.000520887030321923
149,0.0641777171376698,0.232082474530122,0.000516369687614254
150,0.0637613076588335,0.22890930378865,0.000511878009523811
151,0.0633451063409379,0.225756845888444,0.000507411698920166
152,0.0629290897278485,0.222625091637412,0.000502970467614283
153,0.0625132347020425,0.219514032993936,0.000498554036158718
154,0.0620975184760025,0.216423663050452,0.000494162133653962
155,0.0616819185838292,0.213353976017442,0.000489794497560654
156,0.0612664128730596,0.210304967207836,0.000485450873517442
157,0.0608509794966801,0.207276633021812,0.000481131015164221
158,0.0604355969053247,0.204268970931983,0.000476834683970559
159,0.0600202438396456,0.201281979468962,0.000472561649069065
160,0.0596048993228474,0.198315658207301,0.000468311687093494
161,0.059189542653374,0.195370007751797,0.000464084582021395
162,0.0587741533977368,0.192445029724143,0.000459880125021089
163,0.0583587113834765,0.189540726749949,0.000455698114302809
164,0.057943196692245,0.186657102446084,0.000451538354973797
165,0.0575275896530016,0.183794161408377,0.000447400658897198
166,0.0571118708353091,0.180951909199638,0.000443284844554574
167,0.056696021042724,0.178130352338018,0.000439190736911881
168,0.0562800213062688,0.175329498285681,0.000435118167288741
169,0.0558638528779771,0.172549355437815,0.000431066973230872
170,0.0554474972245026,0.169789933111941,0.000427036998385514
171,0.0550309360207813,0.167051241537557,0.000423028092379727
172,0.0546141511437387,0.164333291846077,0.000419040110701404
173,0.0541971246660299,0.161636096061098,0.000415072914582888
174,0.0537798388498062,0.158959667088963,0.000411126370887052
175,0.0533622761404947,0.156304018709644,0.000407200351995727
176,0.0529444191605842,0.153669165567931,0.000403294735700343
177,0.0525262506926377,0.151055123165461,0.000399409404994953
178,0.0521077537183846,0.14846190785081,0.000395544248391355
179,0.0516889113407162,0.145889536813464,0.000391699159149507
180,0.0512697068279771,0.14333802807558,0.000387874035646486
181,0.0508501235942128,0.140807400484741,0.000384068781151662
182,0.0504301451927594,0.13829767370702,0.000380283303728319
183,0.0500097553097629,0.135808868220372,0.000376517516136773
184,0.0495889377576162,0.133341005308351,0.000372771335738867
185,0.0491676764683033,0.130894107054159,0.000369044684403781
186,0.0487459554866355,0.128468196335029,0.000365337488415031
187,0.0483237589633697,0.126063296816954,0.00036164967837861
188,0.0479010711481936,0.123679432949765,0.000357981189132153
189,0.0474778763825652,0.12131662996256,0.000354331959655066
190,0.0470541590923914,0.118974913859504,0.000350701932979529
191,0.0466299037805329,0.116654311416001,0.000347091056102299
192,0.0462050950191178,0.114354850175241,0.00034349927989724
193,0.0457797174416508,0.112076558445153,0.000339926559028498
194,0.0453537557348994,0.109819465295748,0.00033637285186427
195,0.0449271946305417,0.107583600556886,0.000332838120391068
196,0.0445000188965572,0.105368994816473,0.000329322330128446
197,0.0440722133283428,0.103175679419089,0.000325825450044096
198,0.0436437627395335,0.101003686465088,0.000322347452469263
199,0.0432146519525097,0.098853048810159,0.000318888313014416
200,0.0427848657885672,0.0967238000653788,0.000315448010485116
201,0.0423543890577302,0.0946159745977762,0.000312026526798011
202,0.0419232065481825,0.0925296075314167,0.000308623846896914
203,0.0414913030152924,0.0904647347490364,0.000305239958668901
204,0.0410586631702065,0.0884213928942427,0.000301874852860368
205,0.0406252716844409,0.0863996193734861,0.000298528523119601
206,0.0401911130744974,0.0843994523637755,0.000295200965121186
207,0.0397561719450246,0.0824209308082906,0.000291892178446742
208,0.0393204326576993,0.0804640944284745,0.000288602164062315
209,0.0388838795154866,0.078528983726955,0.000285330925755738
210,0.0384464966976168,0.0766156399937027,0.000282078469663734
211,0.0380082682444074,0.0747241053129442,0.000278844804187114
212,0.0375691780413575,0.0728544225708668,0.00027562993990526
213,0.0371292098024796,0.0710066354641527,0.000272433889489908
214,0.0366883470528241,0.069180788509383,0.000269256667618228
215,0.0362465731102254,0.0673769270533503,0.000266098290885665
216,0.035803871065742,0.0655950972843441,0.000262958777715139
217,0.0353602237640643,0.0638353462444122,0.000259838148272016
218,0.0349156137818378,0.0620977218426997,0.000256736424370573
219,0.0344700234055529,0.0603822728698896,0.000253653629384163
220,0.0340234346081264,0.0586890490138078,0.000250589788153242
221,0.0335758290242637,0.0570181008762546,0.00024754492689237
222,0.0331271879245235,0.0553694799911276,0.000244519073096113
223,0.0326774921879949,0.053743238843903,0.000241512255443756
224,0.0322267222734933,0.0521394308925514,0.000238524503702736
225,0.0317748582099632,0.0505581105889311,0.000235555848766675
226,0.0313218794499216,0.0489993334074745,0.000232606321807815
227,0.0308677650928024,0.0474631558627601,0.000229675955855802
228,0.0304124935513976,0.0459496355436838,0.000226764783752043
229,0.0299560426947104,0.0444588311405218,0.000223872839224418
230,0.0294983897591495,0.0429908024764121,0.000221000156463063
231,0.0290395113070425,0.0415456105409013,0.000218146770018835
232,0.0285793831755285,0.0401233175260346,0.000215312714655928
233,0.0281179804627946,0.038723986863131,0.000212498025447675
234,0.0276552774028138,0.0373476832657916,0.000209702737205236
235,0.0271912473951099,0.0359944727714276,0.000206926884871747
236,0.0267258628909955,0.0346644227884492,0.000204170503058211
237,0.0262590953668546,0.0333576021447841,0.000201433626125688
238,0.0257909152179209,0.032074081141683,0.000198716287815849
239,0.0253212917255982,0.0308139316091502,0.000196018521337532
240,0.0248501929621193,0.0295772269661202,0.000193340359108326
241,0.0243775857121474,0.0283640422845352,0.000190681832622638
242,0.0239034353829726,0.027174454357892,0.000188042972282176
243,0.0234277059546149,0.0260085417722722,0.000185423807474472
244,0.0229503597246409,0.0248663849900719,0.000182824365554716
245,0.0224713574396747,0.023748066427186,0.000180244672987419
246,0.0219906579715855,0.0226536705463089,0.00017768475402639
247,0.0215082182764613,0.0215832839522752,0.000175144630988613
248,0.021023993236021,0.0205369954952941,0.000172624323931093
249,0.0205379355037135,0.0195148963818421,0.000170123850405325
250,0.0200499953329718,0.0185170802941033,0.000167643225173412
251,0.0195601203908031,0.0175436435186865,0.000165182459909151
252,0.0190682555509579,0.0165946850856353,0.000162741562861742
253,0.0185743426649654,0.0156703069188335,0.000160320538482356
254,0.0180783203074213,0.0147706139990863,0.000157919387005419
255,0.0175801234913815,0.0138957145413648,0.000155538103975797
256,0.0170796833507809,0.0130457201878565,0.000153176679720055
257,0.0165769267743072,0.0122207462192356,0.000150835098703772
258,0.0160717760034918,0.0114209117859354,0.000148513338853882
259,0.0155641481618965,0.0106463401628512,0.000146211370712203
260,0.0150539547197561,0.00989715903068594,0.000143929156469147
261,0.0145411008735828,0.00917350078817088,0.000141666648815735
262,0.0140254848229175,0.00847550290027963,0.000139423789573907
263,0.013506996920167,0.00780330828875183,0.000137200508047493
264,0.0129855186622129,0.00715706577280068,0.000134996719018084
265,0.0124609214825608,0.00653693056993097,0.000132812320284953
266,0.0119330652890225,0.00594306486953136,0.000130647189613207
267,0.0114017966725062,0.00537563849560874,0.000128501180904726
268,0.0108669466846444,0.00483482968012205,0.000126374119334899
269,0.0103283280413011,0.00432082597548745,0.000124265795092979
270,0.00978573159825868,0.00383382534247586,0.000122175955396979
271,0.00923892155131924,0.00337403747698429,0.000120104293054293
272,0.00868762950457504,0.00294168543200781,0.000118050432675413
273,0.00813154599443228,0.00253700766143049,0.000116013909934412
274,0.00757030899728915,0.0021602606357478,0.000113994143353222
275,0.0070034874704483,0.00181172227689848,0.000111990393172353
276,0.00643055713970215,0.00149169659806121,0.000110001700030609
277,0.0058508635009502,0.00120052018472752,0.000108026790098913
278,0.00526356269597084,0.000938571618174759,0.000106063921790881
279,0.00466752180143775,0.000706285861195687,0.00010411062470831
280,0.00406113817396507,0.000504177634374872,0.000102163222156726
281,0.00344198267605424,0.000332882547725286,0.000100215880817544
282,0.00280600047529502,0.000193238005671564,9.82584654443642e-05
283,0.00214536326654484,8.64709992033868e-05,9.62707331269622e-05
284,0.00144058724277918,1.47781582443412e-05,9.42008832591861e-05
285,0.000598323912539708,-1.4998268916675e-05,9.17951092277018e-05
